id,post_message,label,post_message_preproced
4096,"Vì sao lại có con số 400.000 tấn gạo mà không phải là 500.000 hay 600.000 tấn?

Bộ Công Thương tính mỗi người dự trữ thêm 7,2kg gạo ăn ngoài lượng gạo tiêu thụ bình thường, trong khi mỗi ngày cả gia đình tôi 4 người ăn ko hết 1 bát gạo. Các bác trên Bộ ngồi bàn giấy mà ăn khoẻ phết nhỉ.

[<URL>](<URL>)",0,con_số gạo công_thương dự_trữ kg gạo gạo tiêu_thụ bình_thường gia_đình ko bát gạo bàn_giấy khoẻ phết urlurl
2951,"Trung Quốc cho phép thử nghiệm lâm sàng trên người với 2 loại vaccine. Hai loại này là lô vaccine bất hoạt đầu tiên ngừa Covid-19, do Công ty Nghiên cứu và phát triển dược phẩm Sinovac phối hợp với Tập đoàn Dược phẩm Quốc gia Trung Quốc sản xuất.  Các cuộc thử nghiệm sẽ được tiến hành liên tiếp trong tháng 4 và 5.",0,trung_quốc cho_phép thử_nghiệm lâm_sàng vacine hai lô vacine bất hoạt ngừa covid công_ty nghiên_cứu phát_triển dược_phẩm sinovac phối_hợp tập_đoàn dược_phẩm quốc_gia trung_quốc sản_xuất thử_nghiệm tiến_hành liên_tiếp
2265,"Được biết, đây không phải là dự án duy nhất do Tổng công ty Khoáng sản và Thương mại Hà Tĩnh đầu tư không phát huy hiệu quả, làm ăn thua lỗ khiến ngân sách nhà nước thất thu. Đáng nói hơn, thậm chí một số dự án của Tổng Công ty này còn bị ngân hàng phát mại...
",0,dự_án duy_nhất tổng_công_ty khoáng_sản thương_mại hà_tĩnh đầu_tư phát_huy hiệu_quả làm_ăn thua_lỗ ngân_sách nhà_nước thất_thu dự_án tổng_công_ty ngân_hàng phát_mại
2881,"Xung quanh ca nhiễm Covid-19 thứ 17 tại Việt Nam I Bản tin về virus corona ngày 7.3.2020

Bản tin về virus corona của Báo Thanh Niên trực tiếp truyền hình lúc 19 giờ trên <URL>, kênh YouTube Báo Thanh Niên, facebook Báo Thanh Niên và trang Báo Thanh Niên trên mạng xã hội Lotus. Thông tin mới, đầy đủ nhất về diễn biến của dịch bệnh Covid-19 do chủng mới của virus corona ở trong nước và quốc tế. Bệnh nhân thứ 17 dương tính với virus corona. Kết quả xét nghiệm những người xung quanh có khả năng lây nhiễm của bệnh nhân thứ 17. Biện pháp tăng cường phòng dịch tại Hà Nội và Hải Phòng.

#Covid19 #corona #viruscorona #virútcorona #nCoV #viêmphổiVũHán     #BảntinCorona",0,xung_quanh ca nhiễm covid việt_nam virus corona virus corona báo thanh_niên truyền_hình url kênh youtube báo thanh_niên facebok báo thanh_niên trang báo thanh_niên mạng xã_hội lotus thông_tin đầy_đủ diễn_biến dịch_bệnh covid chủng virus corona quốc_tế bệnh_nhân dương_tính virus corona kết_quả xét_nghiệm xung_quanh khả_năng lây_nhiễm bệnh_nhân biện_pháp tăng_cường phòng_dịch hà_nội hải_phòng covid corona viruscorona virútcorona ncov viêmphổivũhán bảntincorona
1921,"Sau 2 năm có đơn tố cáo đối với luật sư Nguyễn Văn Chiến - Chủ nhiệm Đoàn luật sư thành phố Hà Nội, Liên đoàn Luật sư Việt Nam đã có báo cáo kết quả xác minh vụ việc gửi đến Ban Nội chính Trung ương, Bộ Tư pháp.
",0,đơn tố_cáo luật_sư nguyễn_văn chiến chủ_nhiệm đoàn luật_sư thành_phố hà_nội liên_đoàn luật_sư việt_nam báo_cáo kết_quả xác_minh vụ_việc gửi ban nội_chính trung_ương tư_pháp
4048,"Trong các ngày nghỉ lễ 2 và 3.5, thầy cô ở Hà Nội vẫn bận rộn tới trường hoặc tham gia các buổi họp trực tuyến để chuẩn bị đón học sinh trở lại sau dịp nghỉ tránh Covid-19.",0,nghỉ lễ thầy_cô hà_nội bận_rộn trường tham_gia họp trực_tuyến đón học_sinh trở_lại dịp nghỉ covid
2663,"Chơi thôi ai ngờ quá trớn quá ha

[<URL>](<URL>)",0,ai_ngờ quá_trớn ha urlurl
2129,"KHẨN: Thủ tướng Nguyễn Xuân Phúc vừa ban hành chỉ thị 19 về giãn cách xã hội cho phép các cơ sở kinh doanh thương mại dịch vụ, khu tập luyện thể thao, khu di tích, danh lam được mở cửa trở lại.",0,khẩn thủ_tướng nguyễn_xuân phúc ban_hành chỉ_thị giãn xã_hội cho_phép cơ_sở kinh_doanh thương_mại dịch_vụ khu tập_luyện thể_thao khu di_tích danh_lam mở_cửa trở_lại
267,"Gợi ý thực đơn bữa cơm gia đình hàng ngày nhé, rất đơn giản mà ngon miệng.🤤
<URL>",0,gợi thực_đơn bữa cơm gia_đình hàng đơn_giản ngon_miệng emoji url
121,"Thứ trưởng Bộ Y tế Nguyễn Trường Sơn cho biết 90.000 bác sĩ, 125.000 điều dưỡng cả nước đã được điều động sẵn sàng tham gia chống dịch.

Trong kịch bản Covid-19 lan rộng, ngành y tế dự kiến huy động thêm sinh viên ngành y, dược, Thứ trưởng Sơn nói với <URL> chiều 17/3.

""Sinh viên năm cuối của các trường đại học y và dược sẽ được tập huấn về kỹ thuật lấy mẫu xét nghiệm, tổ chức cách ly, phụ việc cho các y bác sĩ. Dự kiến nhóm này có khoảng 16.000 người"", Thứ trưởng Sơn nói.

Các bệnh viện trung ương, quân đội, công an và bệnh viện địa phương đều được yêu cầu lên ""phương án nóng"" sẵn sàng phục vụ chống dịch. Lực lượng bác sĩ, y tá về hưu, trung cấp y khoa... cũng được tính đến trong bài toán về nhân lực y tế.

Ngành y tế đã phân tuyến điều trị bệnh nhân rất mạnh mẽ. Tuyến xã có thể theo dõi các ca bệnh, tuyến huyện có thể điều trị, chỉ những bệnh nhân nặng mới chuyển tuyến trung ương.""Mạng lưới điều trị của Việt Nam đang hoạt động hiệu quả"", Thứ trưởng Sơn nói.

Về trang thiết bị y tế, hiện ngành có khoảng 3.000 máy thở ở các bệnh viện. Những bệnh viện cấp huyện cũng trang bị máy thở. Trường hợp dịch lan rộng, ngành y tế điều động máy thở ở nơi không có dịch đến nơi có dịch. Ngành y tế cũng xây dựng kế hoạch mua sắm thêm vật tư y tế cần thiết như thuốc, máy móc, khẩu trang, đồ bảo hộ, dung dịch sát khuẩn...

Số lượng giường bệnh hiện vẫn đảm bảo cho việc cách ly và điều trị cho các bệnh nhân.

Hai thành phố lớn là Hà Nội và TP HCM chuẩn bị cơ sở hạ tầng y tế cho tình huống dịch xấu nhất.

Giáo sư Nguyễn Tấn Bỉnh, Giám đốc Sở Y tế TP HCM, cho biết thành phố chuẩn bị sẵn sàng nhân lực, cơ sở vật chất, trang thiết bị ứng phó Covid-19, kể cả trong tình huống dịch kéo dài. TP HCM vừa chuyển đổi Bệnh viện huyện Cần Giờ thành cơ sở chuyên điều trị bệnh nhân Covid-19 có 300 giường bệnh, bắt đầu tiếp nhận những người từ các khu cách ly tập trung xuất hiện các triệu chứng sốt, ho... từ ngày 16/3.

Bệnh viện dã chiến Củ Chi vốn là khu cách ly tập trung cũng được chuyển thành nơi tiếp nhận điều trị với quy mô 300 giường.

""Bệnh viện Ung bướu TP HCM cơ sở 2 sẽ hoạt động vào tháng 6. Nếu bệnh nhân tiếp tục tăng, Sở sẽ có phương án đưa nơi đây thành nơi điều trị bệnh nhân nhiễm nCoV"", ông Bỉnh nói.

TP HCM cũng chuẩn bị vận hành 10 phòng áp lực âm tại Bệnh viện dã chiến Củ Chi và 10 phòng áp lực âm tại huyện Cần Giờ, tăng thêm 1.200 máy thở. 400 bác sĩ chuyên khoa nhiễm được huy động, đang tập huấn cho khoa khác để tăng nhân lực có thể điều trị cho 1.000-1.400 người bệnh.

Trong tháng 4, thành phố đã chuẩn bị sẵn sàng hơn 20.000 bộ kit xét nghiệm dịch Covid-19. Trong tháng 5, tháng 6, ngành y tế cũng dự trù hơn 20.000 bộ xét nghiệm. Khẩu trang, đồ bảo hộ chuyên dụng, các trang thiết bị cũng đang được tăng cường.

""Chúng tôi cố gắng xét nghiệm, phân loại toàn bộ hành khách nhập cảnh vào TP HCM từ vùng dịch. Công đoạn này giúp ngăn ngừa triệt để dịch lây lan trong cộng đồng"", ông Bỉnh nói.

Hà Nội cũng đang có các kịch bản chống dịch trước tình hình dịch bệnh gia tăng. Dịch cấp độ 1 và 2, các bệnh viện đã chuẩn bị 650 giường điều trị bệnh nhân, thuộc 41 bệnh viện công lập và 3 bệnh viện ngoài công lập. Dịch bệnh ở cấp độ 3, số giường bố trí điều trị cách ly bệnh nhân là 1.290.

Trong trường hợp dịch diễn biến phức tạp hơn, nhiều bệnh nhân hơn, ngành y tế có thể bố trí 4.040 giường bệnh. Trong đó, 50% giường bệnh huy động ở các bệnh viện đa khoa, còn lại tập trung tại bệnh viện dã chiến.

Theo Chủ tịch UBND Nguyễn Đức Chung, những ngày tới công dân từ các nước châu Âu về đông, thành phố Hà Nội đã lên kế hoạch chuẩn bị cơ sở vật chất, địa điểm tiếp đón, cách ly.

Khu tái định cư Thượng Thanh (quận Long Biên) có 427 căn hộ có thể cách ly được khoảng 2.000 người. Khu nhà ở sinh viên tại phường Tứ Hiệp, quận Hoàng Mai có thể đáp ứng 2.000 trường hợp. Bệnh viện đa khoa Mê Linh (cũ) được thành phố sửa lại với mục đích phục vụ 200 bệnh nhân. Ngoài ra, cơ sở vật chất sẵn có ở các trường dạy nghề ở Phú Xuyên, Sơn Tây, Chương Mỹ... cũng có thể được sử dụng.

Tính đến 10h sáng nay, Việt Nam đã ghi nhận 67 bệnh nhân Covid-19, trong đó 16 bện",0,thứ_trưởng tế nguyễn_trường_sơn bác_sĩ điều_dưỡng điều_động sẵn_sàng tham_gia chống dịch kịch_bản covid lan rộng ngành tế dự_kiến huy_động sinh_viên ngành dược thứ_trưởng sơn url chiều sinh_viên trường đại_học dược tập_huấn kỹ_thuật mẫu xét_nghiệm tổ_chức cách_ly phụ bác_sĩ dự_kiến thứ_trưởng sơn bệnh_viện trung_ương quân_đội công_an bệnh_viện địa_phương phương_án nóng sẵn_sàng phục_vụ chống dịch lực_lượng bác_sĩ_tá hưu trung_cấp khoa bài_toán nhân_lực_tế ngành tế phân tuyến điều_trị bệnh_nhân mạnh_mẽ tuyến xã theo_dõi ca bệnh tuyến huyện điều_trị bệnh_nhân tuyến trung ươngmạng lưới điều_trị việt_nam hoạt_động hiệu_quả thứ_trưởng sơn trang_thiết_bị_tế hiện ngành máy thở bệnh_viện bệnh_viện huyện trang_bị máy thở trường_hợp dịch lan rộng ngành tế điều_động máy thở dịch dịch ngành tế xây_dựng kế_hoạch mua_sắm vật_tư_tế cần_thiết thuốc máy_móc khẩu_trang đồ bảo_hộ dung_dịch sát_khuẩn số_lượng giường_bệnh hiện cách_ly điều_trị bệnh_nhân hai thành_phố hà_nội tp hcm cơ_sở_hạ_tầng_tế tình_huống dịch xấu giáo_sư nguyễn_tấn bỉnh giám_đốc sở tế tp hcm thành_phố sẵn_sàng nhân_lực cơ_sở vật_chất trang_thiết_bị ứng_phó covid tình_huống dịch kéo_dài tp hcm chuyển_đổi bệnh_viện huyện cần_giờ thành cơ_sở chuyên điều_trị bệnh_nhân covid giường_bệnh tiếp_nhận khu cách_ly triệu_chứng sốt ho bệnh_viện dã_chiến củ_chi vốn khu cách_ly thành tiếp_nhận điều_trị quy_mô giường_bệnh viện ung_bướu tp hcm cơ_sở hoạt_động bệnh_nhân sở phương_án thành điều_trị bệnh_nhân nhiễm ncov bỉnh tp hcm vận_hành phòng áp_lực âm bệnh_viện dã_chiến củ_chi phòng áp_lực âm huyện cần_giờ máy thở bác_sĩ chuyên_khoa nhiễm huy_động tập_huấn khoa nhân_lực điều_trị người_bệnh thành_phố sẵn_sàng kit xét_nghiệm dịch covid ngành tế dự_trù xét_nghiệm khẩu_trang đồ bảo_hộ chuyên_dụng trang_thiết_bị tăng_cường cố_gắng xét_nghiệm phân_loại toàn_bộ hành_khách nhập_cảnh tp hcm dịch công_đoạn giúp ngăn_ngừa triệt_để dịch lây_lan cộng_đồng bỉnh hà_nội kịch_bản chống dịch tình_hình dịch_bệnh gia_tăng dịch cấp_độ bệnh_viện giường điều_trị bệnh_nhân bệnh_viện công_lập bệnh_viện công_lập dịch_bệnh cấp_độ giường bố_trí điều_trị cách_ly bệnh_nhân trường_hợp dịch diễn_biến phức_tạp bệnh_nhân ngành tế bố_trí giường_bệnh giường_bệnh huy_động bệnh_viện đa_khoa bệnh_viện dã_chiến chủ_tịch ubnd nguyễn_đức công_dân châu_âu đông thành_phố hà_nội kế_hoạch cơ_sở vật_chất địa_điểm tiếp_đón cách_ly khu tái định_cư thượng long_biên căn_hộ cách_ly khu sinh_viên phường tứ hiệp hoàng_mai đáp_ứng trường_hợp bệnh_viện đa_khoa mê_linh cũ thành_phố sửa mục_đích phục_vụ bệnh_nhân cơ_sở vật_chất sẵn trường dạy nghề phú_xuyên sơn_tây chương_mỹ việt_nam ghi_nhận bệnh_nhân covid bện
4135,"NHỮNG NỤ CƯỜI NHÂN BẢN

Một sáng kiến tưởng chừng đơn giản nhưng lại xuất phát từ tấm lòng nhân ái quảng đại, hình ảnh gương mặt kèm theo nụ cười của y bác sĩ được dán lên áo. Kết quả thật bất ngờ, các bệnh nhân đã phấn chấn tinh thần hẳn lên, sức khỏe của họ cũng được cải thiện rõ rệt.

Chi tiết xem tại link bên dưới:
<URL>",0,nụ cười nhân_bản sáng_kiến tưởng_chừng đơn_giản xuất_phát nhân_ái quảng_đại hình_ảnh gương_mặt kèm nụ cười bác_sĩ dán áo kết_quả bệnh_nhân phấn_chấn tinh_thần hẳn sức_khoẻ cải_thiện rõ_rệt chi_tiết link url
1374,"Nhằm tăng cường sức khỏe cho các em thiếu nhi, đặc biệt trong mùa dịch COVID-19 do virus Corona, báo Tuổi Trẻ phối hợp cùng Trung tâm Thể dục Bằng Tâm thực hiện chương trình với chủ đề ""KHỎE ĐỂ CHỐNG VIRUS CORONA"".",0,tăng_cường sức_khoẻ thiếu_nhi mùa dịch covid virus corona báo tuổi_trẻ phối_hợp trung_tâm thể_dục tâm chương_trình chủ_đề khoẻ chống virus corona
427,"Cách đây 3 năm, Thiên Khôi từng được nhiều khán giả biết đến khi đăng quang cuộc thi Việt Nam Idol Kids 2017. Với chất giọng ấm áp, gương mặt điển trai, cậu bé nhanh chóng thu hút sự chú ý từ các giám khảo lẫn khán giả xem đài khi chỉ mới 12 tuổi. Và mới đây, Thiên Khôi lại gây bất ngờ với hình ảnh trưởng thành, “người lớn” hơn trước khi trở lại với ca khúc hoàn toàn mới “Biết em lại vô tình”.",0,thiên khôi khán_giả đăng_quang thi việt_nam idol kids chất giọng ấm_áp gương_mặt điển_trai bé nhanh_chóng thu_hút giám_khảo lẫn khán_giả đài thiên khôi hình_ảnh trưởng_thành người_lớn trở_lại ca_khúc vô_tình
2697,"Sở GTVT Hà Nội vừa có công văn đề xuất UBND thành phố dỡ bỏ biển cấm taxi, xe hợp đồng dưới 9 chỗ ở 11 tuyến đường trên địa bàn thành phố.",0,sở gtvt hà_nội công_văn đề_xuất ubnd thành_phố dỡ biển cấm taxi xe hợp_đồng chỗ tuyến đường địa_bàn thành_phố
2736,Các chuyên gia Nhật Bản dự kiến sẽ đến Việt Nam vào ngày 5/6 để kiểm tra hệ thống xử lý và giám sát các lô vải trước khi xuất khẩu. Như vậy có thể khẳng định vải thiều Bắc Giang năm nay chắc chắn sẽ xuất khẩu sang Nhật.,0,chuyên_gia nhật_bản dự_kiến việt_nam kiểm_tra hệ_thống giám_sát lô vải xuất_khẩu vải_thiều bắc_giang xuất_khẩu nhật
3453,"HƯNG YÊN CHƯA PHÁT HIỆN VIRUS CORONA, CÁCH LY ĐĂC BIỆT 4 NGƯỜI ĐẾN TỪ HỒ BẮC Theo Sở Y tế Hưng Yên, đến nay, tỉnh Hưng Yên chưa ghi nhận trường hợp nào dương tính với virus Corona. Tuy nhiên, 4 người nhập cảnh vào Hưng Yên từ tỉnh Hồ Bắc, Trung Quốc  chưa qua 14 ngày đang được cách ly, giám sát tại Trung tâm Y tế huyện Yên Mỹ và thị xã Mỹ Hào. 4 người này gồm 3 nữ, 1 nam là những lao động đang làm việc tại các doanh nghiệp Trung Quốc ở Hưng Yên về Trung Quốc ăn tết và trở lại... Hưng Yên từ ngày 29-31/1/2020. Cả 4 người đang được cách ly, giám sát và theo dõi sức khỏe chặt chẽ. Sở Y tế cũng có công văn yêu cầu đối với những người nhập cảnh từ tỉnh Hồ Bắc, Trung Quốc phải coi như người mắc bệnh và tiến hành cách ly tại 1 trong 15 cơ sở y tế được giao nhiệm vụ. Các trường hợp khác nhập cảnh từ Trung Quốc được cách ly tại nhà hoặc cơ sở lưu trú dưới sự giám sát của cơ quan chức năng và y tế địa phương. Hưng Yên có 94 doanh nghiệp sử dụng 467 lao động Trung Quốc. Trong đó 432 lao động trở về nước ăn tết, 35 người ở lại không về nước. Đến 14h30 ngày 4/2/2020 có 242 người trở lại Hưng Yên, 190 người chưa trở lại.  Sở LĐ, TB&XH cũng yêu cầu các doanh nghiệp tạm dừng tiếp nhận lao động Trung Quốc về quê ăn tết quay trở lại Việt Nam Tỉnh Hưng Yên tạm dừng cấp giấy phép lao động mới cho lao động nước ngoài đến từ vùng có dịch viêm phổi cấp. Ảnh: Minh họa (<URL>) Danh sách số điện thoại đường dây nóng phòng chống dịch viêm phổi cấp ở Hưng Yên: <URL>…/a.<PHONE>0…/<PHONE>291249/… Xem thêm",0,hưng_yên phát_hiện virus corona cách_ly đăc biệt hồ bắc sở tế hưng_yên tỉnh hưng_yên ghi_nhận trường_hợp dương_tính virus corona nhập_cảnh hưng_yên tỉnh hồ bắc trung_quốc cách_ly giám_sát trung_tâm_tế huyện yên_mỹ thị_xã mỹ_hào nữ nam lao_động làm_việc doanh_nghiệp trung_quốc hưng_yên trung_quốc tết trở_lại hưng_yên cách_ly giám_sát theo_dõi sức_khoẻ chặt_chẽ sở tế công_văn nhập_cảnh tỉnh hồ bắc trung_quốc coi mắc bệnh tiến_hành cách_ly cơ_sở_tế giao nhiệm_vụ trường_hợp nhập_cảnh trung_quốc cách_ly cơ_sở lưu_trú giám_sát cơ_quan_chức_năng tế địa_phương hưng_yên doanh_nghiệp lao_động trung_quốc lao_động trở tết trở_lại hưng_yên trở_lại sở lđ tbxh doanh_nghiệp tạm dừng tiếp_nhận lao_động trung_quốc quê tết trở_lại việt_nam tỉnh hưng_yên tạm dừng giấy_phép lao_động lao_động nước_ngoài dịch viêm phổi ảnh minh_hoạ url danh_sách điện_thoại đường_dây_nóng phòng_chống dịch viêm phổi hưng_yên url aphone phone
2765,"Hình ảnh phố xá vốn dĩ đông đúc, vui nhộn nhất Sài Gòn trở nên im ắng cũng khiến nhiều du khách bất ngờ.

#doisong #kháchTây #Covid19",0,hình_ảnh phố_xá đông_đúc vui_nhộn sài_gòn trở_nên im_ắng du_khách doisong kháchtây covid
1521,"Trung Quốc đã lập tức phản đối sau khi đại diện Mỹ tại Liên Hiệp Quốc ủng hộ việc Đài Loan gia nhập tổ chức này, theo Hãng tin AP ngày 2-5.
Phái đoàn đại diện Mỹ tại LHQ đăng trên Twitter rằng LHQ được thành lập để đại diện cho ""tất cả tiếng nói"", đón nhận ""sự đa dạng trong cách nhìn và thái độ"" đồng thời ủng hộ quyền con người.",0,trung_quốc lập_tức phản_đối đại_diện mỹ liên_hiệp_quốc ủng_hộ đài_loan gia_nhập tổ_chức hãng ap phái_đoàn đại_diện mỹ lhq đăng twiter lhq thành_lập đại_diện tiếng_nói đón_nhận đa_dạng thái_độ ủng_hộ quyền con_người
2406,"Chiều 10/3, Bộ Y tế xác nhận trường hợp thứ 34 nhiễm Covid-19, là một phụ nữ ở Bình Thuận.",0,chiều tế xác_nhận trường_hợp nhiễm covid phụ_nữ bình_thuận
3794,"""Dạo gần đây, có một virus rất hot Tên của em ấy Corona Em từ đâu? Quê của em ở Vũ Hán"" ---... ""Ghen cô Vy"" là dự án hợp tác giữa Erik, Min, Khắc Hưng với Viện Sức khỏe nghề nghiệp và môi trường (Bộ Y tế). Phần hình ảnh thể hiện bởi Yang Animation Artist. Xem thêm",0,dạo virus hot corona quê vũ hán ghen vy dự_án hợp_tác erik min khắc hưng viện sức_khoẻ nghề_nghiệp môi_trường tế hình_ảnh thể_hiện yang animation artist
1233,"Bị cáo Hồng Hoa chân đi không vững, sức khỏe khá yếu phải cần sự trợ giúp, còn Hà tỏ vẻ lạnh lùng khi đến tòa.

   ",0,bị_cáo hồng_hoa chân đi vững sức_khoẻ yếu trợ_giúp hà lạnh_lùng
