id,num_like_post,num_comment_post,num_share_post,label
433,692,28,44,0
434,242,9,1,0
435,4494,7,20,0
436,126,144,14,0
437,7361,50,436,0
438,6916,31,820,0
439,58,1,3,0
440,416,378,6800,0
441,58,1,6,0
442,1,0,0,0
443,1600,214,2300,0
444,3,0,0,0
445,2997,50,451,0
446,9100,683,3200,0
447,1,0,0,0
448,12,0,1,0
449,9,2,4,0
450,3,1,0,0
451,0,50,41,0
452,1015,9,1,0
453,10,2,3,0
454,434,11,11,0
456,4600,6,128,0
457,19,0,3,0
458,51,4,8,0
459,23,0,1,0
460,430,19,62,0
461,430,11,390,1
462,7,1,3,0
463,0,0,0,0
464,2361,50,178,0
465,2471,18,113,0
466,14,0,2,0
467,125,132,4400,1
468,35000,4000,5800,0
469,5344,50,88,0
470,7,3,1,0
471,90,3,9,0
472,56,21,4,0
473,28,1,2,0
474,7,0,0,0
475,1901,30,40,0
476,217,22,14,0
477,3400,2200,2100,0
478,0,0,0,0
479,55,1,7,0
480,50,3,23,1
481,52,0,1,0
482,3,1,0,0
483,376,19,57,0
484,4400,1500,6800,0
485,32,7,7,0
486,44,0,0,0
488,39,1,4,0
489,209,25,51,0
490,3793,19,1614,0
491,1,0,0,0
492,6,0,0,0
493,92,8,22,0
494,30,4,0,0
495,105,181,11,1
496,1100,518,4200,0
497,1829,50,208,0
498,4501,105,270,0
499,1,0,0,0
500,74,1,9,0
501,16,0,1,0
502,323,100,74,0
503,214,25,4,1
504,3,0,0,0
505,15054,155,371,0
506,16,5,1,0
507,48,6,74,0
508,7228,501,1342,0
509,54,3,2,0
510,3100,767,1300,1
511,6985,50,593,0
512,20,0,1,0
513,4,0,0,0
514,3152,50,57,0
515,16,0,0,0
516,40,3,0,0
517,130,35,9,0
518,2,0,0,1
519,606,23,104,1
520,4554,122,379,0
521,130,0,14,0
522,110,24,8,1
523,747,33,188,0
524,96,10,2,1
525,1650,6,56,0
526,24000,2900,5400,0
527,19,4,0,0
528,6,0,1,0
529,96,45,18,0
530,1539,13,75,0
531,123,65,3,1
532,1,0,0,1
533,27,10,6,0
534,37,72,17,0
535,15,2,0,1
536,7,3,0,0
537,49,5,10,0
538,9,0,0,0
539,4,0,1,0
540,133,57,83,0
541,10661,50,574,0
542,1,1,11,1
543,25203,211,292,0
544,8,1,1,0
545,0,27,103,0
546,6,3,0,1
547,1,0,0,0
548,1322,50,19,0
549,182,0,8,0
550,0,0,0,0
551,105,16,17,0
552,4712,50,249,0
553,4200,530,2300,0
554,5,5,1,0
555,1,0,0,0
556,563,50,14,0
557,151,52,47,0
558,69,1,9,0
559,21,0,2,0
560,10,0,0,0
561,4,3,0,1
562,360,273,504,1
563,271,33,14,1
564,61,5,7,0
565,115,32,20,1
566,7,0,0,0
567,39,1,1,0
568,15,0,0,0
569,2098,37,35,0
570,1500,3500,13000,1
571,8,0,0,0
572,52,15,6,0
573,28,3,3,0
574,7100,5900,13000,1
575,7843,20,156,0
576,131,2,7,0
577,32000,10000,25000,0
578,4982,28,255,0
579,0,0,0,0
580,64,14,12,1
581,78,17,3,1
582,0,1,0,0
583,1119,9,4,0
584,33,7,8,0
585,581,47,72,1
586,7,0,0,1
587,2,0,1,0
588,15,2,0,0
589,6,1,0,1
590,245,30,24,1
591,33,5,1,0
592,1587881185,24,1,0
593,8867,21,995,0
594,1779,9,32,0
595,2,0,0,0
596,16,6,2,0
597,828,79,34,1
598,25,0,0,0
599,14,4,1,0
600,5,0,0,0
601,9,0,2,0
602,52,13,4,0
603,1780,36,87,0
604,19,3,0,0
605,32000,2300,2600,0
606,31,54,14,1
607,801,31,104,0
608,291,22,19,1
609,8500,3400,19000,1
610,212,3,22,1
611,32,0,4,0
612,3,1,0,0
613,0,0,0,0
614,379,7,2,0
615,6337,50,1407,0
616,6500,834,2100,0
617,5,3,0,0
618,115,25,16,0
619,20,10,0,1
620,210,10,36,0
621,28412,1599,2150,0
622,5700,1800,4800,0
623,13,1,0,0
624,4,0,0,0
625,1,1,1,1
626,2,0,0,0
627,92,37,7,0
628,51,1,68,1
629,8,0,0,0
630,298,217,2200,1
631,4,0,0,0
632,2000,364,3000,0
633,10,0,0,0
634,3,0,0,0
635,292,132,429,1
636,2150,22,71,0
637,8815,35,120,0
639,68,9,4,0
640,2,0,0,1
641,1,0,0,0
642,37,10,1,0
643,4,3,0,0
645,24000,817,3100,0
646,19,18,7,1
647,35,3,0,1
648,63,0,24,0
649,9,11,2,0
650,6,2,1,1
651,30,1,0,0
652,22,8,1,0
653,25,1,63,1
654,479,0,39,0
655,832,14,44,0
656,3679,19,140,0
657,885,11,6100,1
658,239,14,20,1
659,172,5,8,0
660,19,2,1,1
661,49000,4300,7000,0
662,6200,1200,2200,0
663,634,6,1,0
664,0,0,0,1
665,85,3,4,0
666,2,0,0,0
667,12,0,3,1
668,62,48,6,1
669,12,1,1,0
670,12170,50,700,0
671,47,0,6,0
672,6,0,0,0
673,24,2,1,0
674,25,0,2,0
675,4605,13,190,0
676,16,1,0,0
677,83,109,6,0
678,27,18,4,1
679,19,14,4,0
681,38,0,4,0
682,67000,13000,22000,0
683,0,0,0,0
684,68,0,13,0
685,4,0,0,0
686,12,2,1,1
687,118,44,23,0
688,40,1,6,0
689,143,25,21,1
690,45,23,10,1
691,3,0,1,1
692,31427,50,7549,0
693,13000,766,2600,0
694,24,0,0,0
695,3,0,0,1
696,14,3,0,0
697,490,0,133,0
698,0,0,0,0
699,109,2,1,0
700,182,94,57,0
701,1,0,0,0
702,58,13,6,0
704,0,0,0,0
705,9,1,0,0
706,21,10,2,0
707,67,17,0,0
708,601,6,1,0
710,11,0,0,0
711,4,0,1,0
712,18,13,0,0
713,4979,29,69,0
714,7,0,0,0
716,239,5,2,0
717,1,0,0,0
718,587,734,2600,0
719,15,4,2,0
720,12,0,1,0
721,26000,3100,3000,0
722,125,19,10,0
723,32,2,0,0
724,6,0,0,0
725,5,0,0,0
726,5,2,0,0
727,49,8,6,0
728,24,2,4,0
729,18513,167,133,0
730,75,1,88,0
731,2,0,0,0
732,33,27,1,1
733,287,73,68,0
734,1809,8,48,0
735,7800,1600,2200,0
736,202,76,58,1
737,6,0,0,0
738,6155,50,825,0
739,108,63,8,0
740,4,0,0,0
741,27,0,1,0
742,16,0,0,0
743,0,0,0,0
744,1,0,0,0
745,5139,0,475,0
746,37,5,6,0
747,31,2,3,0
748,51,139,2,0
749,1,0,0,0
750,20,8,0,1
751,3,0,0,0
752,5,0,2,0
753,677,0,88,0
754,7474,50,325,0
755,3000,536,2500,0
756,44,9,4,0
757,16904,46,746,0
758,627,12,1,0
759,23,0,0,0
760,11156,50,618,0
761,18,0,1,0
762,18,4,2,0
763,3292,50,98,0
764,21,0,2,1
765,3,1,0,0
766,1,0,0,0
767,268,130,59,0
768,13,0,1,0
769,203,0,12,0
770,1,0,0,0
771,80,1,5,0
772,37,3,2,1
773,7134,37,711,0
774,590,50,51,0
775,10,1,1,0
776,314,3,71,0
777,0,0,0,0
778,3,0,0,0
779,0,1,0,0
780,2009,12,30,0
781,2,0,0,0
782,118,2,2,0
784,9,1,0,0
785,13,0,0,1
786,259,0,46,0
787,93,18,9,1
788,20000,3100,3400,0
789,7,0,1,0
790,5,0,0,0
791,32,10,1,0
792,5,0,0,0
793,536,10,19,0
794,2,0,0,0
795,16,0,0,0
796,6110,173,422,0
797,9,2,0,0
798,5263,29,68,0
799,1,0,0,0
800,53,0,12,1
801,0,0,0,0
802,309,231,86,0
803,607,0,2100,1
804,98,2,1,0
805,369,1,3,0
806,124,50,18,1
807,2344,50,186,0
808,3,0,1,0
809,333,31,50,0
810,53,0,71,1
811,55,0,5,0
812,1500,355,6800,1
813,4,1,0,0
814,45,82,1,0
815,1,0,0,0
816,16,2,0,0
817,6,0,0,0
818,11,0,0,0
819,25,1,2,0
820,241,180,573,1
821,16,5,2,0
822,96,0,11,0
823,54893,50,28885,0
824,5,6,1,0
825,143,4,21,0
826,50,16,0,0
827,8,1,3,0
828,15686,50,273,0
829,1690,16,46,0
830,50,19,8,0
831,6557,65,230,0
832,0,2,0,0
833,1,0,0,0
834,49,1,5,0
835,221,1,32,0
836,17,0,0,0
837,201,0,33,0
838,181,53,59,1
839,12,0,0,0
840,2,1,0,0
841,13,0,0,0
842,4,1,0,0
843,1410,0,322,0
844,5,0,0,0
845,974,80,190,1
846,18,3,2,0
847,35,0,5,0
848,11,6,0,0
849,38,42,0,1
850,2038,14,25,0
851,9,0,0,0
852,210,185,36,1
853,196,23,38,1
854,2000,934,2600,0
855,6,13,0,1
856,22000,423,2200,0
857,948,142,140,1
858,441,80,52,0
859,17,1,3,0
860,44,30,0,0
861,6,1,0,1
862,17,4,4,0
863,3,0,0,0
864,9,0,1,1
865,3,4,0,0
866,1882,50,471,0
867,11,2,1,0
868,132,0,61,0
869,4085,50,105,0
871,475,40,14,0
872,123,14,4,0
873,3007,15,46,0
874,427,41,631,1
875,3,0,0,0
877,24,1,0,0
878,2,0,0,0
879,2969,19,42,0
880,997,90,778,1
881,16,0,11,0
882,2,0,0,0
883,15,7,0,1
884,28,4,4,0
885,7,1,0,0
886,29,0,0,0
887,155,8,43,0
888,2,0,0,0
889,36,7,0,0
890,43,24,3,0
891,1211,0,275,0
892,97,18,3,0
893,368,16,21,0
894,6,0,0,0
895,28,1,2,0
896,7,1,0,0
897,33,2,10,0
898,34,0,3,0
899,35,5,12,0
900,16,0,0,0
901,52,0,1,0
902,60,23,10,1
903,36,14,19,1
904,6,0,0,0
905,2,0,0,1
906,2,0,0,0
908,666,32,3,0
909,2500,573,4000,1
910,3100,83,3500,0
911,13,1,5,1
912,1955,0,392,0
913,9289,50,184,0
914,1,0,0,0
915,15,0,0,0
916,25,1,1,0
917,115,30,20,1
918,2,0,1,0
919,6,0,3,0
920,13,2,0,0
921,43,4,1,0
923,13,2,4,1
924,6,0,1,0
925,5900,133,2800,0
926,39,6,1,0
927,11,0,1,0
928,35,2,1,0
929,70,0,4,0
930,3,0,0,0
931,188,5,1,0
932,10,1,0,0
933,6,1,0,0
934,3,0,0,0
935,117,1,11,0
936,11381,50,854,0
937,102,0,24,0
938,14,1,1,0
939,146,6,12,0
940,3,0,0,0
941,5,13,0,1
942,10,0,1,0
943,4,0,0,0
944,52,22,0,0
945,9673,48,268,0
946,19000,228,2500,0
947,124,60,10,1
948,130,6,26,0
949,0,0,0,0
950,5100,433,2600,1
951,3,0,0,0
952,55,34,1,0
953,4,0,2,0
954,2218,11,22,0
955,1354,50,2,0
956,37,9,1,0
957,91,92,8,0
958,378,168,4300,1
959,11,1,5,0
960,126,7,17,0
961,1200,522,4500,0
962,5600,1500,6500,0
963,24000,978,3200,0
964,212,274,30,1
965,0,0,0,0
966,2747,19,71,0
967,47,2,7,0
968,81,52,8,0
969,2,0,0,0
970,769,5,3,0
971,1200,835,2300,0
972,1,0,0,0
973,3927,27,101,0
974,33,6,4,0
975,637,10,68,0
976,4,5,0,0
977,233,131,67,0
978,153,13,23,0
979,23,22,35,1
980,125,3,9,0
981,12,0,5,0
982,1917,7,26,0
983,105,7,7,0
984,7,0,0,0
985,22,0,2,0
986,86,7,33,0
987,1000,1200,1500,1
988,13,1,1,0
989,31,10,3,0
990,0,0,0,0
991,12,2,4,1
992,10859,50,621,0
993,67,76,4,0
994,53,7,1,0
995,13,6,0,0
996,25000,1700,4900,0
997,10,1,1,0
998,1,0,0,0
999,14,1,1,0
1000,7,0,1,0
1001,0,0,0,1
1002,4,0,0,0
1003,45,17,0,0
1004,64,0,35,0
1005,2996,14,411,0
1006,8700,438,2300,0
1007,55,11,0,1
1008,129,2,6,0
1009,9,1,1,0
1010,7,2,0,0
1011,43,11,4,1
1012,6453,21,319,0
1013,21,78,2,0
1014,1,0,0,0
1015,3980,3,310,0
1016,10,0,3,0
1017,51,77,3,0
1018,1,0,1,0
1019,91,36,7,1
1020,15000,2300,4500,0
1021,5,0,0,0
1022,1,0,0,0
1023,94,0,49,0
1024,10,2,0,0
1025,54,89,6,0
1026,10075,141,372,0
1027,1273,7,31,0
1028,8,6,0,0
1029,28,3,6,0
1030,64,4,39,0
1031,700,7,8,0
1032,41,5,1,0
1033,19,0,1,0
1034,1127,50,32,0
1035,40000,1400,2600,0
1036,20,9,2,0
1037,8,8,1,0
1038,0,26,13,0
1039,10,0,3,0
1040,23000,1400,7900,1
1041,455,1,71,0
1042,13,0,2,0
1043,13000,468,17000,0
1044,68,1,6,0
1045,676,9,2300,1
1046,1,0,0,0
1047,5,0,0,0
1048,5,1,0,0
1049,112,45,20,0
1050,132,2,0,0
1051,1,0,0,1
1052,181,128,21,0
1053,6,7,0,1
1054,15,2,2,0
1055,0,0,0,0
1056,320,1,6,0
1057,19,2,0,0
1058,118,0,31,0
1059,375,29,62,1
1060,9,0,4,0
1061,9,0,0,0
1062,0,0,0,0
1063,2,0,0,0
1064,6526,120,339,0
1065,21,9,5,0
1066,25,1,5,0
1067,60,3,2,0
1068,66,0,13,0
1069,1800,50,2700,0
1070,0,1,1,0
1071,31,9,0,1
1072,6023,0,199,0
1073,25,6,4,0
1074,1,1,0,0
1075,80,15,3,1
1076,4349,8,297,0
1077,8401,50,7069,0
1078,10865,16,213,0
1079,11000,1000,11000,1
1080,5,2,1,0
1081,21,1,0,0
1082,1,1,0,0
1083,54,0,8,0
1085,114,33,4,0
1086,2099,75,187,0
1087,9,0,0,0
1088,1,0,0,0
1089,97,1,22,0
1090,278,44,34,0
1091,5400,2500,5300,1
1092,13,6,0,0
1093,136,15,5,1
1094,11,1,0,0
1095,7,1,0,0
1096,36,41,1,0
1097,13,16,1,0
1098,2,1,0,1
1099,2154,34,27,0
1100,209,12,2,0
1101,19000,1400,2600,0
1102,55000,22000,24000,0
1103,38,4,87,1
1104,5,0,0,1
1105,423,35,23,1
1106,369,50,7,0
1107,16,6,0,1
1108,1007,0,74,0
1109,367,43,14,0
1110,4,1,1,0
1112,0,0,0,0
1113,1,0,0,0
1114,30733,794,1954,0
1115,6265,50,192,0
1116,3,0,0,0
1117,1,0,0,0
1118,7334,37,199,0
1119,2,0,1,0
1120,1,0,0,0
1121,168,2,1,0
1122,3863,3,183,0
1123,0,0,0,0
1124,19,0,2,0
1125,0,7,15,0
1126,18,1,0,0
1127,26660,781,1174,0
1128,0,0,0,0
1129,149,64,28,0
1130,2,0,0,0
1131,17,0,0,0
1132,163,121,277,0
1133,108,0,21,0
1134,1,0,0,0
1135,4100,295,2400,0
1136,14,3,3,0
1137,3,6,0,1
1138,14,0,0,0
1139,631,13,133,0
1140,68,67,14,1
1141,25,17,2,0
1142,174,17,12,1
1143,3,0,0,0
1144,16,0,1,0
1145,23,0,0,0
1146,4412,67,274,0
1147,10000,342,2900,0
1149,8,0,1,0
1150,704,17,41,0
1151,6,0,0,0
1153,0,0,0,0
1154,0,0,0,0
1155,2567,8,692,0
1157,3000,298,6700,1
1158,69,0,26,0
1159,33,4,6,0
1160,164,21,25,0
1161,8012,50,28,0
1162,84,36,39,0
1163,107,3,6,0
1164,25,2,3,0
1165,0,0,0,0
1166,21,0,0,0
1167,7375,1280,1930,0
1168,0,0,0,0
1169,1765,0,313,0
1170,212,3,22,1
1171,4,2,0,0
1172,576,34,6,0
1173,24,2,1,0
1174,1500,246,573,1
1175,45,3,0,0
1176,19,3,2,0
1177,7,1,2,0
1178,177,11,7,0
1179,816,50,7,0
1180,10,2,0,0
1181,21,4,1,0
1182,144,52,21,0
1183,118,17,18,0
1184,0,1,0,0
1185,4,9,1,0
1186,2,0,0,0
1187,1,0,0,0
1188,144,0,1,0
1189,0,0,0,0
1190,165,11,20,0
1191,8,2,0,1
1192,35,25,26,0
1193,37,5,4,1
1194,4,0,0,0
1195,21,13,1,0
1196,20,0,9,0
1197,1,0,0,0
1198,33,18,9,0
1199,4956,13,311,0
1200,36,5,6,0
1201,135,60,63,0
1202,87,22,11,0
1203,209,0,32,0
1204,35,0,4,0
1205,85,4,18,0
1206,2896,50,203,0
1207,21120,50,3405,0
1208,276,62,34,1
1209,495,42,36,0
1210,34,0,9,0
1211,7486,50,264,0
1212,5,0,1,0
1213,15,6,0,0
1214,119,156,23,0
1215,47,2,4,0
1216,155,89,42,0
1217,657,4,3,0
1218,279,8,11,0
1219,6573,68,163,0
1220,29000,3000,13000,0
1221,0,0,2,0
1222,6900,930,2900,0
1223,36000,5500,6700,0
1224,24,10,1,0
1225,11,0,0,0
1226,10,1,0,0
1227,33,20,1,0
1228,36,0,12,0
1229,3,0,0,0
1230,7,0,1,0
1231,10000,1400,7100,1
1232,17,0,6,0
1233,3579,50,78,0
1234,2,0,0,0
1235,8369,50,970,0
1236,15,3,0,0
1237,8,1,1,0
1238,61,6,4,0
1239,32000,2900,2300,0
1241,12,0,6,0
1242,20000,2200,2400,0
1243,8533,41,618,0
1244,0,0,0,0
1245,13,0,1,0
1246,68000,844,2100,0
1247,22,9,0,0
1248,12,7,0,0
1249,5,1,0,0
1250,317,32,25,1
1251,6,0,1,1
1252,2,1,0,1
1253,1,0,0,0
1254,147,185,33,0
1255,13,6,0,0
1256,924,0,438,0
1257,30000,13000,13000,0
1258,37,9,1,1
1259,2,1,0,0
1260,9,1,0,0
1261,5,0,0,0
1262,3404,50,221,0
1263,48,0,1,0
1264,6700,1000,4200,0
1265,1100,20,389,1
1266,22,0,1,0
1267,5126,146,83,0
1268,147,1,1,0
1269,7,9,0,1
1270,30,11,1,1
1271,18,4,0,0
1272,0,0,1,0
1273,8792,308,1246,0
1274,188,12,34,0
1275,57000,2600,5500,0
1276,11,4,10,0
1277,6,0,0,0
1278,22,2,0,0
1279,13,1,2,0
1280,7,3,1,0
1281,19,0,1,0
1282,12,2,0,0
1283,46000,2900,3400,0
1284,80,30,9,0
1285,7,0,1,0
1286,22,1,1,0
1287,1500,69,136,1
1288,101,140,14,0
1289,1500,541,2400,1
1290,12615,1609,4330,0
1291,40,22,2,1
1292,69,22,0,0
1293,2,0,0,0
1294,37,0,2,0
1295,219,32,26,0
1296,1455,36,25,0
1297,244,1,18,0
1298,62,0,7,0
1299,167,1,2,0
1300,16,0,7,0
1301,13,1,0,0
1302,884,2,7300,1
1303,215,3,1,0
1304,166,15,5,1
1305,10000,508,3700,0
1306,4,0,0,0
1307,197,2,22,0
1309,3223,45,59,0
1310,15,20,0,0
1311,2900,468,3300,0
1312,19,11,0,0
1313,85,5,30,0
1314,4000,509,2200,1
1315,497,0,97,0
1316,17000,918,2200,0
1317,9,0,3,0
1318,364,50,71,0
1319,0,0,0,0
1320,282,37,18,0
1321,84,36,9,0
1322,2,0,1,0
1323,6500,8200,6100,0
1324,14,2,0,0
1326,26,1,3,0
1327,20,4,1,0
1328,1900,309,294,1
1329,3,0,1,1
1330,198,7,7,0
1331,5499,50,79,0
1332,15000,1000,4100,0
1333,9934,16,6,0
1334,4,0,3,0
1335,160,0,35,0
1336,641,3,4,0
1337,22,1,6,0
1338,210,35,12,1
1339,2,1,0,0
1340,5505,34,374,0
1341,9,0,6,0
1342,244,42,51,0
1343,159,7,20,0
1344,29,0,1,0
1345,489,66,190,1
1346,54,8,137,1
1347,19,0,0,0
